sp_name,height,cw_max,cw_min,weight,biomass
ysc,13.5,42.5,47.5,37.77,11.08
ysc,20,60,39,74.38,45
zmc,24,67,65,86.12,37.54
ysc,7.5,18.5,13.5,7.62,2.61
ysc,14,40,23,25.08,12.5
ysc,24,37,23,12.15,3.15
ysc,10,34.5,29,45.09,14.47
ysc,28,51,45,26.05,7.68
ysc,38,67,38,131.26,45.8
ysc,9.5,39,33,47.44,3.43
gwc,47,0,0,1.12,0.38
gwc,36.5,0,0,1,0.26
gwc,32,0,0,0.9,0.14
lwc,26,0,0,1.76,0.34
lwc,36,0,0,6.29,1.38
lwc,45,0,0,4.2,0.87
lwc,36,0,0,4,0.92
lwc,41,0,0,6.27,1.07
lwc,44,0,0,4.29,0.73
lwc,34,0,0,6.37,1.2
lwc,36,0,0,3.75,0.62
lc,39.5,0,0,0.9,0.46
gwc,23,0,0,1,0.22
gwc,36,0,0,1.46,0.33
gwc,29,0,0,0.85,0.21
gwc,33,0,0,1,0.27
gwc,39,0,0,1.54,0.37
gwc,24.5,0,0,1.28,0.26
gwc,27,0,0,0.61,0.09
gwc,42,0,0,0.5,0.2
gwc,35,0,0,0.59,0.18
gwc,37,0,0,1.06,0.17
fs,0,0,39,0.18,0
syc,14,11,5,4.54,1.44
hhbxc,5,6,15,0.77,0.13
hhbxc,15,21,10,3.15,0.81
ltp,17,27,24,22.16,5.19
syc,18,25,19,33.2,11.29
hhbxc,15,40,30,6.39,1.99
syc,18,41,22,39.15,14.74
syc,24,19,20,22.72,2.91
cs,0.3,1.2,1,0.023,0
hhbxc,37,45,24,11.63,4.68
hhbxc,14,16,10,2.71,0.91
hhbxc,12,12,7,1.47,0.54
hhbxc,7,7,5,0.35,0.13
hhbxc,15,17,14,2.92,0.89
hhbxc,6.5,11,17,1.27,0.52
hhbxc,10,17,14,4.16,2.12
hhbxc,10,21,11,3.12,1.00 
ysc,3.5,13,11.5,4.92,0.3
ltp,16,20,15,12.46,6.42
ysc,7.5,33.5,29,49.65,25.5
ysc,10,52,48,74.35,30.66
ysc,9.5,39,36.5,65.48,18.28
hhbxc,10,15,5,1.10 ,0.35
syc,8.2,10,8,4.5,1
hhbxc,20,20,20,2,0.6
syc,17,18.5,16,18.55,5.74
syc,13,16,11,5.1,3.24
syc,21,15,22,22.33,8.27
hhbxc,10,21,15,6.87,3.69
syc,19,21,12,11.89,3.28
hhbxc,5,5,5,0.57,0.16
syc,12,14,11,12.50 ,5.94
syc,11,20,12,21.61,8.06
syc,12,8,7,4.30 ,0.92
syc,12,17,13,9.00 ,3.14
syc,16.2,18,16,25.49,6.85
syc,13,16,15,22.32,10.48
syc,21,24,11,15.68,4.34
syc,22,16,14,18.07,4.78
hhbxc,20,30,22,9.88,3.25
lc,34,0,0,0.76,0.4
lc,36.5,0,0,0.72,0.33
lc,36,0,0,0.73,0.38
lc,36.5,0,0,0.86,0.48
lc,43,0,0,0.87,0.46
lc,31.5,0,0,0.77,0.41
lc,36.5,0,0,0.75,0.40 
hhbxc,17,17,6,1.93,0.62
syc,10,5,3,1.11,0.21
hhbxc,17,30,25,13.71,5.30 
syc,13,24,19,31.00 ,15.3
syc,16,20,20,45.66,13
syc,9.5,9,7,4.58,0.84
ts,2.5,4,0.1,1.1,0.17
hhbxc,40,30,11,7.21,3.72
syc,16,10,5,4.28,1.09
ysc,35,89,72,302.27,72.32
ysc,37,71,69,85.76,46.72
ysc,24,80,78,275.72,127.67
